MAIN_ID,RA,DEC,COO_WAVELENGTH,COO_BIBCODE,OTYPE,COO_BIBCODE_2
CXOU J122945.7+080130,12 29 45.7,+08 01 30,X,2008ApJ...689..983H,XB,2008ApJ...689..983H
[CHP2004] J122945.6+080129,12 29 45.6,+08 01 29,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
CXOMKZ J1229493+080147,12 29 49.3,+08 01 47,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
[CHP2004] J122952.7+080156,12 29 52.7,+08 01 56,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[CHP2004] J122945.5+080202,12 29 45.5,+08 02 02,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[JPB2009] 187.4186282+8.0402413,12 29 40.4708,+08 02 24.869,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
CXOMKZ J1229404+080225,12 29 40.4,+08 02 25,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
CXOMKZ J1229512+080225,12 29 51.2,+08 02 25,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
CXOMKZ J1229537+080241,12 29 53.7,+08 02 41,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
[CHP2004] J122943.9+080250,12 29 43.9,+08 02 50,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
2XMM J122922.1+075333,12 29 22.150,+07 53 32.57,O,2009yCat.2294....0A,QSO,2009yCat.2294....0A
[CHP2004] J122944.0+075532,12 29 44.0,+07 55 32,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[GLK96]  2045,12 29 39.05,+07 57 13.1,,2003ApJ...591..850C,GlCl,2003ApJ...591..850C
CXOU J122954.1+075718,12 29 54.1,+07 57 17,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[CHP2004] J122954.2+075720,12 29 54.2,+07 57 20,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[GLK96]  2140,12 29 54.18,+07 57 20.9,,2003ApJ...591..850C,GlCl,2003ApJ...591..850C
[CHP2004] J122944.6+075722,12 29 44.6,+07 57 22,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
CXOMKZ J1229531+075723,12 29 53.1,+07 57 23,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
[MKZ2003] OID   48,12 29 41.4,+07 57 27,O,2003ApJ...586..814M,GlCl,2003ApJ...586..814M
[CHP2004] J122941.4+075727,12 29 41.4,+07 57 27,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
CXOMKZ J1229577+075728,12 29 57.7,+07 57 28,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
[CHP2004] J122933.5+075801,12 29 33.5,+07 58 01,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[MKZ2003] OID  879,12 29 49.3,+07 58 19,O,2003ApJ...586..814M,GlCl,2003ApJ...586..814M
CXOU J122949.3+075819,12 29 49.3,+07 58 19,X,2008ApJ...689..983H,XB,2008ApJ...689..983H
